frame,0_x,0_y,0_z,0_visibility,1_x,1_y,1_z,1_visibility,2_x,2_y,2_z,2_visibility,3_x,3_y,3_z,3_visibility,4_x,4_y,4_z,4_visibility,5_x,5_y,5_z,5_visibility,6_x,6_y,6_z,6_visibility,7_x,7_y,7_z,7_visibility,8_x,8_y,8_z,8_visibility,9_x,9_y,9_z,9_visibility,10_x,10_y,10_z,10_visibility,11_x,11_y,11_z,11_visibility,12_x,12_y,12_z,12_visibility,13_x,13_y,13_z,13_visibility,14_x,14_y,14_z,14_visibility,15_x,15_y,15_z,15_visibility,16_x,16_y,16_z,16_visibility,17_x,17_y,17_z,17_visibility,18_x,18_y,18_z,18_visibility,19_x,19_y,19_z,19_visibility,20_x,20_y,20_z,20_visibility,21_x,21_y,21_z,21_visibility,22_x,22_y,22_z,22_visibility,23_x,23_y,23_z,23_visibility,24_x,24_y,24_z,24_visibility,25_x,25_y,25_z,25_visibility,26_x,26_y,26_z,26_visibility,27_x,27_y,27_z,27_visibility,28_x,28_y,28_z,28_visibility,29_x,29_y,29_z,29_visibility,30_x,30_y,30_z,30_visibility,31_x,31_y,31_z,31_visibility,32_x,32_y,32_z,32_visibility
0,0.5131832957267761,0.6448990106582642,-0.5266623497009277,0.9998290538787842,0.5364606380462646,0.5817935466766357,-0.5632340312004089,0.9996156692504883,0.5528812408447266,0.5786529779434204,-0.5629733800888062,0.9997327923774719,0.5721880197525024,0.5755611658096313,-0.5633330941200256,0.9996504783630371,0.5071355104446411,0.5858688354492188,-0.4865818917751312,0.9995088577270508,0.49979859590530396,0.5861352682113647,-0.4858073592185974,0.9996213912963867,0.4926126003265381,0.5865764617919922,-0.48612552881240845,0.9995059967041016,0.6307755708694458,0.5917443037033081,-0.5048846006393433,0.9997565150260925,0.5183850526809692,0.5953080654144287,-0.1403973549604416,0.9996253252029419,0.5499164462089539,0.6894700527191162,-0.4917842745780945,0.9997969269752502,0.5107803344726562,0.6916173696517944,-0.38618311285972595,0.9996575117111206,0.8154270052909851,0.8909704685211182,-0.3787981867790222,0.9979054927825928,0.43812236189842224,0.8530052900314331,-0.03506174683570862,0.999504566192627,0.875292956829071,1.2534306049346924,-0.3938128650188446,0.18140645325183868,0.37173202633857727,1.0725688934326172,-0.0018513754475861788,0.12474974244832993,0.8687669634819031,1.5279842615127563,-0.4770696759223938,0.027808653190732002,0.3281193971633911,1.4098262786865234,-0.4529998302459717,0.04690174013376236,0.8853341341018677,1.611599326133728,-0.5287591814994812,0.04011676460504532,0.297158807516098,1.4988774061203003,-0.5402947664260864,0.07040112465620041,0.8518699407577515,1.6187617778778076,-0.5783183574676514,0.06833711266517639,0.32842764258384705,1.498081922531128,-0.5993677973747253,0.11562725901603699,0.8366948366165161,1.5751219987869263,-0.5042191743850708,0.0693545863032341,0.34476444125175476,1.4645862579345703,-0.5014089345932007,0.11955487728118896,0.7163003087043762,1.555066466331482,-0.11313571035861969,0.00037993001751601696,0.46105876564979553,1.5266737937927246,0.11777521669864655,0.0006665244582109153,0.6857709884643555,2.113767623901367,-0.12350676208734512,6.833079532952979e-05,0.4518246054649353,2.081583023071289,0.12981218099594116,4.244099909556098e-05,0.6755694150924683,2.6215689182281494,0.3540579378604889,2.0911142200930044e-05,0.44231677055358887,2.6064236164093018,0.43020763993263245,2.794362444547005e-06,0.6862915754318237,2.702183723449707,0.3772968649864197,2.2601372620556504e-05,0.44143104553222656,2.690359592437744,0.44502654671669006,8.62152774061542e-06,0.6129782795906067,2.7696876525878906,-0.12184591591358185,2.7309299184707925e-05,0.4482399821281433,2.757556676864624,-0.08465214818716049,1.4691142496303655e-05
1,0.5892380475997925,0.6224000453948975,-0.8045018315315247,0.9998441338539124,0.6154822707176208,0.5618788599967957,-0.7639693021774292,0.9996494650840759,0.6319400668144226,0.5604056119918823,-0.7637847661972046,0.9997556209564209,0.6471014022827148,0.5598617792129517,-0.7640159130096436,0.999680757522583,0.5685564279556274,0.567650556564331,-0.7567240595817566,0.9995536804199219,0.5527638792991638,0.5699726939201355,-0.7558012008666992,0.9996554255485535,0.5412503480911255,0.5730512142181396,-0.7558983564376831,0.9995509386062622,0.6738748550415039,0.5861729383468628,-0.4764404296875,0.9997767210006714,0.5344723463058472,0.59260094165802,-0.38478028774261475,0.9996597170829773,0.6248325705528259,0.6768211126327515,-0.6813803911209106,0.9998153448104858,0.5642706155776978,0.6809571981430054,-0.6647257804870605,0.9996897578239441,0.8249017596244812,0.8920813202857971,-0.2709689140319824,0.9980782866477966,0.4344100058078766,0.8618953227996826,-0.24621646106243134,0.9995355606079102,0.9183515310287476,1.246132493019104,-0.20675122737884521,0.1829518973827362,0.3370581865310669,1.193811058998108,-0.16648299992084503,0.15319840610027313,0.9014682769775391,1.5245500802993774,-0.4453921914100647,0.027666661888360977,0.32475072145462036,1.4526584148406982,-0.5645384192466736,0.05199931561946869,0.9211007356643677,1.6117538213729858,-0.523766040802002,0.03944327309727669,0.29519134759902954,1.5415196418762207,-0.6697190999984741,0.07361437380313873,0.8779775500297546,1.6162686347961426,-0.5750952959060669,0.06753060966730118,0.3284440040588379,1.538595199584961,-0.7469159364700317,0.12008427828550339,0.8640609979629517,1.5737006664276123,-0.4818771779537201,0.06841320544481277,0.3448565602302551,1.503118634223938,-0.6131932735443115,0.12301432341337204,0.7401645183563232,1.5618014335632324,-0.07980577647686005,0.00037274116766639054,0.4691506326198578,1.5428067445755005,0.08463697135448456,0.0006370677147060633,0.7142530679702759,2.117143154144287,-0.07486255466938019,7.12218097760342e-05,0.465695321559906,2.1024935245513916,0.1456252783536911,4.280099528841674e-05,0.7105541229248047,2.62278151512146,0.4803430438041687,2.1935875338385813e-05,0.4726288318634033,2.61216139793396,0.5656172037124634,2.7941032385569997e-06,0.7174845337867737,2.70408296585083,0.5058268308639526,2.3705624698777683e-05,0.47129616141319275,2.6960930824279785,0.5925889015197754,8.604557478975039e-06,0.6657148599624634,2.7734014987945557,-0.03413759917020798,2.832391510310117e-05,0.5051721930503845,2.764414072036743,0.018367931246757507,1.5671106666559353e-05
2,0.6036036610603333,0.6129041910171509,-0.8875104784965515,0.999857485294342,0.629446268081665,0.5537851452827454,-0.8387510180473328,0.9996790885925293,0.6458691954612732,0.5529835224151611,-0.8386524319648743,0.9997760653495789,0.6607582569122314,0.5532346367835999,-0.8389093279838562,0.9997072219848633,0.5816830396652222,0.5590727925300598,-0.8347160220146179,0.9995931386947632,0.5654316544532776,0.5618188977241516,-0.8338528871536255,0.9996858239173889,0.5534175038337708,0.5656248331069946,-0.8339583277702332,0.9995903372764587,0.6847400665283203,0.5828624963760376,-0.4797862470149994,0.9997942447662354,0.5415350794792175,0.590766966342926,-0.43654507398605347,0.9996902346611023,0.6387836337089539,0.6702312231063843,-0.7522510290145874,0.9998319149017334,0.576903760433197,0.6742085814476013,-0.7395120859146118,0.9997185468673706,0.8288545608520508,0.8920955061912537,-0.2649632692337036,0.9982422590255737,0.43359142541885376,0.8665258288383484,-0.28429538011550903,0.9995670318603516,0.9296576380729675,1.2379815578460693,-0.2349318265914917,0.18618841469287872,0.33587872982025146,1.214307188987732,-0.21184499561786652,0.18685072660446167,0.9154255986213684,1.5151021480560303,-0.5682893991470337,0.028175223618745804,0.32567012310028076,1.4680689573287964,-0.6512880325317383,0.058481186628341675,0.9362298250198364,1.6096099615097046,-0.6724039316177368,0.039363209158182144,0.2962016761302948,1.5582292079925537,-0.7677660584449768,0.07727766036987305,0.8903499841690063,1.6097346544265747,-0.7308105826377869,0.06768961250782013,0.333010196685791,1.5590614080429077,-0.8484813570976257,0.12518729269504547,0.8772662878036499,1.56698739528656,-0.6117848753929138,0.06837910413742065,0.3494700789451599,1.521427869796753,-0.7011597752571106,0.12732373178005219,0.746651291847229,1.563732385635376,-0.07024285942316055,0.00037838498246856034,0.47928446531295776,1.5473132133483887,0.07501333951950073,0.0006256508058868349,0.7319749593734741,2.1170549392700195,-0.028309326618909836,7.393418491119519e-05,0.48217058181762695,2.1064698696136475,0.20700053870677948,4.292397716199048e-05,0.7322169542312622,2.619985818862915,0.5645188689231873,2.5863451810437255e-05,0.4944276809692383,2.6120808124542236,0.7057530879974365,2.903655968111707e-06,0.7398133873939514,2.7019617557525635,0.5935656428337097,2.8212896722834557e-05,0.49227890372276306,2.6960465908050537,0.7394715547561646,9.26269331102958e-06,0.6883252859115601,2.7714171409606934,0.03601108118891716,3.088198718614876e-05,0.5349009037017822,2.764392137527466,0.14472995698451996,1.7632608432904817e-05
3,0.6030575037002563,0.611047625541687,-0.8657771944999695,0.9998685121536255,0.6282161474227905,0.5522486567497253,-0.8206067085266113,0.9997031092643738,0.6444200277328491,0.5515240430831909,-0.8205625414848328,0.9997926950454712,0.6601556539535522,0.5518284440040588,-0.8208317756652832,0.9997286796569824,0.5818486213684082,0.5573999881744385,-0.8113864064216614,0.9996259808540344,0.5668314099311829,0.560024619102478,-0.8104490041732788,0.9997111558914185,0.5559214353561401,0.5637775659561157,-0.8105742335319519,0.99962317943573,0.6863507628440857,0.5815359950065613,-0.4766479432582855,0.9998078346252441,0.5450952649116516,0.5900090336799622,-0.4078705310821533,0.9997155070304871,0.6389478445053101,0.6680975556373596,-0.7347216606140137,0.9998455047607422,0.5784479379653931,0.6724149584770203,-0.7153796553611755,0.9997426271438599,0.8317223787307739,0.8919355869293213,-0.2504434883594513,0.9983718395233154,0.4330102503299713,0.8689447641372681,-0.25040677189826965,0.9995872378349304,0.9262087941169739,1.2318756580352783,-0.1850387156009674,0.1843288093805313,0.33233529329299927,1.2070910930633545,-0.15264323353767395,0.21822388470172882,0.9119971394538879,1.5089658498764038,-0.48665231466293335,0.02812141366302967,0.32495853304862976,1.466683030128479,-0.6161671876907349,0.06376420706510544,0.9322697520256042,1.6064770221710205,-0.5890362858772278,0.038740355521440506,0.29537367820739746,1.5565375089645386,-0.7098652720451355,0.08019571751356125,0.8883062601089478,1.6044987440109253,-0.6544504761695862,0.06689132750034332,0.3329417109489441,1.5591788291931152,-0.7668853998184204,0.12945276498794556,0.8752996325492859,1.5619163513183594,-0.5329114198684692,0.0674523189663887,0.34940752387046814,1.5216656923294067,-0.6705813407897949,0.13084504008293152,0.7506769895553589,1.564204454421997,-0.07121173292398453,0.00036885132431052625,0.4833378195762634,1.5463871955871582,0.07595057040452957,0.000598281854763627,0.7340890169143677,2.1124050617218018,-0.0470111146569252,7.653095963178203e-05,0.4870045781135559,2.1057164669036865,0.18941910564899445,4.4444863306125626e-05,0.7344210743904114,2.609292507171631,0.49406903982162476,2.890488576667849e-05,0.5001387000083923,2.604163885116577,0.6094485521316528,3.0900907859177096e-06,0.742864727973938,2.691213369369507,0.5200478434562683,3.162975554005243e-05,0.4980660080909729,2.6872398853302,0.6352585554122925,1.0317218766431324e-05,0.6874342560768127,2.7599761486053467,0.026136022061109543,3.322890188428573e-05,0.5397017598152161,2.755969285964966,0.06167411804199219,2.0088347810087726e-05
4,0.6029308438301086,0.6117715835571289,-0.8459025621414185,0.9998781085014343,0.6283236742019653,0.5527575016021729,-0.8037686347961426,0.9997232556343079,0.6445753574371338,0.5519264936447144,-0.8036901354789734,0.9998066425323486,0.6604833602905273,0.5521566867828369,-0.8039159774780273,0.999746561050415,0.5818765759468079,0.5580092668533325,-0.7951894402503967,0.9996545910835266,0.567149817943573,0.5604457855224609,-0.7942509651184082,0.9997333884239197,0.5565293431282043,0.5640058517456055,-0.7943990230560303,0.9996520280838013,0.6871047616004944,0.5813606381416321,-0.4736917018890381,0.9998185038566589,0.5463165640830994,0.5899040699005127,-0.4089195728302002,0.9997379183769226,0.6389456987380981,0.6680967211723328,-0.7195051908493042,0.9998570084571838,0.5787370800971985,0.6723914742469788,-0.701387345790863,0.9997637867927551,0.8331459760665894,0.8918645977973938,-0.24822647869586945,0.9984807968139648,0.43166249990463257,0.869889497756958,-0.2579990029335022,0.9996064305305481,0.9239926338195801,1.229649305343628,-0.1673225313425064,0.18006445467472076,0.33210986852645874,1.2069858312606812,-0.13885056972503662,0.23986117541790009,0.9081208109855652,1.50691556930542,-0.42355555295944214,0.027685124427080154,0.32804185152053833,1.470656156539917,-0.5318806767463684,0.06734973192214966,0.9285670518875122,1.6064659357070923,-0.5101243257522583,0.03788383677601814,0.2997184097766876,1.562347650527954,-0.6285229921340942,0.08233342319726944,0.8873339891433716,1.6018561124801636,-0.5677714943885803,0.06552284210920334,0.3397649824619293,1.5646778345108032,-0.7017139196395874,0.1322920322418213,0.87309330701828,1.559206247329712,-0.4640604853630066,0.06610985100269318,0.35610029101371765,1.5261772871017456,-0.5772292017936707,0.13316836953163147,0.7522033452987671,1.564723253250122,-0.06584344804286957,0.000359032244887203,0.4840144217014313,1.545733094215393,0.07059779763221741,0.0005730616976507008,0.7335764765739441,2.108501672744751,-0.05209175497293472,7.713022932875901e-05,0.4870671331882477,2.1047611236572266,0.18852132558822632,4.461170465219766e-05,0.7321538925170898,2.601841449737549,0.49194520711898804,3.0358214644365944e-05,0.4981521964073181,2.5968210697174072,0.5780278444290161,3.1444271826330805e-06,0.7402486205101013,2.6837713718414307,0.5172263383865356,3.366067539900541e-05,0.49620264768600464,2.6798737049102783,0.602475106716156,1.0656302038114518e-05,0.6846767067909241,2.7526841163635254,-0.011957968585193157,3.501257742755115e-05,0.5355783700942993,2.747244358062744,0.03417806699872017,2.1689831555704586e-05
5,0.6032523512840271,0.6123464107513428,-0.8245881199836731,0.9998870491981506,0.6289249658584595,0.5531049370765686,-0.7836313247680664,0.9997426271438599,0.6451160311698914,0.5522276759147644,-0.7835582494735718,0.9998199343681335,0.6610540747642517,0.5524247884750366,-0.7837852239608765,0.9997638463973999,0.5823108553886414,0.5583170056343079,-0.7746144533157349,0.9996814727783203,0.5675233602523804,0.5605724453926086,-0.7736870050430298,0.9997541904449463,0.5569589138031006,0.5639389753341675,-0.7738378643989563,0.9996791481971741,0.6875039935112,0.5812845230102539,-0.46008139848709106,0.9998292326927185,0.5470631718635559,0.5897637605667114,-0.3956492841243744,0.9997588992118835,0.6391938924789429,0.6682537198066711,-0.7009249925613403,0.9998677968978882,0.5789831876754761,0.6724768877029419,-0.6826481223106384,0.9997835159301758,0.8345577120780945,0.891904890537262,-0.24314704537391663,0.9985879063606262,0.43031078577041626,0.8723669052124023,-0.25473079085350037,0.9996273517608643,0.9236266016960144,1.2300975322723389,-0.1843390017747879,0.17740246653556824,0.33384665846824646,1.2133047580718994,-0.15700066089630127,0.2618754208087921,0.9059125781059265,1.507392168045044,-0.4359310269355774,0.027550071477890015,0.33050408959388733,1.476154088973999,-0.5389498472213745,0.0717836320400238,0.9255620837211609,1.6064869165420532,-0.5119600296020508,0.03735926002264023,0.3024601936340332,1.5679550170898438,-0.6396001577377319,0.0851672887802124,0.8846595883369446,1.6018224954605103,-0.5703154802322388,0.06469313055276871,0.342957079410553,1.5691417455673218,-0.7143297791481018,0.1361900269985199,0.8705193400382996,1.559164047241211,-0.47296032309532166,0.06532163918018341,0.3596409261226654,1.5306555032730103,-0.5848315358161926,0.1365496963262558,0.7534055113792419,1.569307804107666,-0.06205734610557556,0.00036040524719282985,0.4854195713996887,1.547179102897644,0.06671785563230515,0.000564261747058481,0.7348659634590149,2.1081604957580566,-0.05233852192759514,8.064250141615048e-05,0.48948806524276733,2.1036908626556396,0.1513439118862152,4.6692093746969476e-05,0.7341710925102234,2.6010522842407227,0.48612362146377563,3.322315387777053e-05,0.5013018846511841,2.5964555740356445,0.5339604616165161,3.3407930004614173e-06,0.7419235706329346,2.6830525398254395,0.5109871625900269,3.753879354917444e-05,0.49935513734817505,2.6794369220733643,0.5570881366729736,1.137428898800863e-05,0.6893883943557739,2.75178861618042,-0.02028181590139866,3.8149832107592374e-05,0.5393586158752441,2.746371269226074,-0.012940166518092155,2.4318198484252207e-05
6,0.6049675941467285,0.6112280488014221,-0.8208211660385132,0.9998949766159058,0.6304024457931519,0.5521787405014038,-0.7782273888587952,0.9997599124908447,0.6465694308280945,0.5514719486236572,-0.7781563997268677,0.9998316168785095,0.6622288823127747,0.5518214106559753,-0.7783738970756531,0.9997793436050415,0.5842641592025757,0.556982159614563,-0.7709867358207703,0.9997053146362305,0.5693179368972778,0.5591694712638855,-0.7700666189193726,0.9997723698616028,0.5583038926124573,0.5625046491622925,-0.7702164649963379,0.9997029900550842,0.6881154179573059,0.5809574127197266,-0.45319080352783203,0.9998384714126587,0.5479850769042969,0.5893898606300354,-0.3967290222644806,0.9997771382331848,0.6405466198921204,0.6676984429359436,-0.696520984172821,0.9998774528503418,0.5802741646766663,0.6715346574783325,-0.6809161901473999,0.9998010396957397,0.8343499898910522,0.8918113708496094,-0.2437175065279007,0.9986826777458191,0.42948684096336365,0.8733871579170227,-0.2600983679294586,0.9996413588523865,0.9213219881057739,1.2302343845367432,-0.19455376267433167,0.17494556307792664,0.33535870909690857,1.212524652481079,-0.1782304346561432,0.27343714237213135,0.9023871421813965,1.5078595876693726,-0.43891605734825134,0.027553241699934006,0.3332348167896271,1.4793593883514404,-0.5656735897064209,0.07435647398233414,0.9241234064102173,1.606540322303772,-0.5262848734855652,0.03725403547286987,0.3042990565299988,1.571279525756836,-0.6711398363113403,0.08705341815948486,0.8840203285217285,1.6019418239593506,-0.582464337348938,0.06458447128534317,0.3450509309768677,1.5734583139419556,-0.7478833794593811,0.13873212039470673,0.8703176379203796,1.5593212842941284,-0.4745490550994873,0.06508132070302963,0.362529993057251,1.5349880456924438,-0.6131539344787598,0.13866883516311646,0.7527614831924438,1.569939374923706,-0.06026320531964302,0.0003602020151447505,0.485598087310791,1.546863079071045,0.06484627723693848,0.0005516060045920312,0.7340666651725769,2.106400489807129,-0.037063173949718475,8.395725308218971e-05,0.4897674024105072,2.103459119796753,0.1494079828262329,4.796317807631567e-05,0.7335609197616577,2.5981991291046143,0.5161017179489136,3.550168185029179e-05,0.5020934343338013,2.5923259258270264,0.5415892601013184,3.4494071314838948e-06,0.7409960031509399,2.680102586746216,0.5420953631401062,3.9998150896281004e-05,0.500312864780426,2.6744940280914307,0.5664088726043701,1.1768480362661649e-05,0.6901224255561829,2.7480616569519043,0.008662509731948376,4.047637412440963e-05,0.5397629141807556,2.740852117538452,-0.0011834382312372327,2.6060146410600282e-05
7,0.6062236428260803,0.6103288531303406,-0.8119907379150391,0.9999029636383057,0.6316090822219849,0.5515369772911072,-0.770919680595398,0.9997777342796326,0.6477561593055725,0.5509621500968933,-0.7708069682121277,0.9998434782028198,0.6631487607955933,0.5514153838157654,-0.771007239818573,0.9997953772544861,0.5855791568756104,0.5556948184967041,-0.7631570100784302,0.9997289776802063,0.5705277323722839,0.5576772093772888,-0.7622337937355042,0.9997900724411011,0.5591764450073242,0.5608497262001038,-0.7623648643493652,0.9997265338897705,0.6881903409957886,0.5806856751441956,-0.4488127827644348,0.9998485445976257,0.5485063791275024,0.5888011455535889,-0.39319390058517456,0.9997948408126831,0.641364574432373,0.6671963930130005,-0.6894130110740662,0.9998868703842163,0.5811113119125366,0.6705910563468933,-0.6731218099594116,0.9998177886009216,0.8340549468994141,0.8918092250823975,-0.24696262180805206,0.9987708926200867,0.42826932668685913,0.8744661211967468,-0.25887760519981384,0.9996540546417236,0.9200731515884399,1.2305549383163452,-0.20212550461292267,0.17173101007938385,0.33604559302330017,1.213758111000061,-0.185245081782341,0.277088463306427,0.9013075828552246,1.5080859661102295,-0.44134658575057983,0.02734495885670185,0.3328375220298767,1.4758409261703491,-0.5798747539520264,0.07510357350111008,0.9226642847061157,1.6070343255996704,-0.5368338823318481,0.03705781325697899,0.30746081471443176,1.5742441415786743,-0.6873154640197754,0.08770327270030975,0.8836867213249207,1.6020039319992065,-0.5893229246139526,0.06441671401262283,0.34868526458740234,1.5760416984558105,-0.7622226476669312,0.1395776867866516,0.8701723217964172,1.5595660209655762,-0.4749980866909027,0.06473539769649506,0.36613792181015015,1.5376715660095215,-0.627473771572113,0.13909626007080078,0.7517457008361816,1.5698331594467163,-0.06120682880282402,0.0003519974125083536,0.4850289821624756,1.5469990968704224,0.0658792033791542,0.0005305541562847793,0.7326361536979675,2.106403350830078,-0.014801356010138988,8.390817674808204e-05,0.48843154311180115,2.10270619392395,0.174597829580307,4.681775681092404e-05,0.7318607568740845,2.5982258319854736,0.5607928037643433,3.491897587082349e-05,0.5001250505447388,2.5919601917266846,0.6358267664909363,3.3266801438003313e-06,0.739095151424408,2.6799652576446533,0.5893111824989319,3.9220602047862485e-05,0.4984397292137146,2.674041271209717,0.6678334474563599,1.1311444723105524e-05,0.6886156797409058,2.7485313415527344,0.057427190244197845,4.0211976738646626e-05,0.5371717214584351,2.7407150268554688,0.1022610291838646,2.5774206733331084e-05
8,0.6073716878890991,0.6085579991340637,-0.7949841022491455,0.9999103546142578,0.6327300667762756,0.5505692958831787,-0.7608470916748047,0.9997939467430115,0.6488499641418457,0.5501134395599365,-0.7607336640357971,0.999854326248169,0.6639627814292908,0.5507064461708069,-0.760985255241394,0.999809980392456,0.5867477655410767,0.5540319085121155,-0.7465882897377014,0.9997506141662598,0.5715521574020386,0.5558052062988281,-0.7456861138343811,0.9998063445091248,0.5598536729812622,0.558864414691925,-0.7458264231681824,0.999748170375824,0.6882893443107605,0.5803403854370117,-0.4362477660179138,0.9998574256896973,0.5487940907478333,0.5880735516548157,-0.38218873739242554,0.9998111128807068,0.6423131823539734,0.665965735912323,-0.6794799566268921,0.9998951554298401,0.5817193388938904,0.6684589982032776,-0.6578802466392517,0.999832808971405,0.8339331746101379,0.8918266892433167,-0.2437506467103958,0.9988437294960022,0.4273940622806549,0.875329315662384,-0.25679728388786316,0.9996654987335205,0.9191020727157593,1.2308462858200073,-0.20151500403881073,0.16703727841377258,0.33661460876464844,1.2126191854476929,-0.20654287934303284,0.27688100934028625,0.9009401202201843,1.5084277391433716,-0.44131216406822205,0.027372363954782486,0.3371592164039612,1.4778722524642944,-0.6178995966911316,0.07588353753089905,0.9225192070007324,1.6070616245269775,-0.5327275395393372,0.037355564534664154,0.31050342321395874,1.5736901760101318,-0.7261475324630737,0.08889874070882797,0.8822129368782043,1.6021029949188232,-0.5817841291427612,0.06493693590164185,0.3520454168319702,1.5746320486068726,-0.7976922988891602,0.14101693034172058,0.8682719469070435,1.5597201585769653,-0.4758342206478119,0.0651967003941536,0.3697388172149658,1.5364925861358643,-0.6649187803268433,0.14029191434383392,0.7513314485549927,1.5697331428527832,-0.060093414038419724,0.0003459058061707765,0.4849236011505127,1.5469132661819458,0.06480105966329575,0.0005147838382981718,0.7313522100448608,2.1059679985046387,0.012969011440873146,8.318484469782561e-05,0.4875960350036621,2.1024560928344727,0.18919585645198822,4.570790406432934e-05,0.7301916480064392,2.5966849327087402,0.5983351469039917,3.428799391258508e-05,0.4980946183204651,2.588693857192993,0.6763840317726135,3.2013372219807934e-06,0.7375184297561646,2.6781320571899414,0.627678632736206,3.827935506706126e-05,0.4964403510093689,2.670189380645752,0.710978627204895,1.0772452696983237e-05,0.6878539323806763,2.7472596168518066,0.10482726246118546,4.012265708297491e-05,0.534257709980011,2.7375404834747314,0.15234938263893127,2.551845318521373e-05
9,0.6075984239578247,0.6080658435821533,-0.8026658296585083,0.9999174475669861,0.6330823302268982,0.5503231287002563,-0.7612682580947876,0.999809741973877,0.6491187810897827,0.5498872995376587,-0.7611587643623352,0.9998652338981628,0.6641076803207397,0.5505020618438721,-0.7613602876663208,0.9998243451118469,0.5873647332191467,0.5536043047904968,-0.75309157371521,0.9997711181640625,0.5722184181213379,0.5553056597709656,-0.7522017955780029,0.9998220205307007,0.5603604316711426,0.5583106875419617,-0.7523230314254761,0.9997686743736267,0.6882695555686951,0.5802357196807861,-0.4352112412452698,0.999866783618927,0.5491329431533813,0.5877653360366821,-0.3863072991371155,0.9998266100883484,0.6423989534378052,0.6655626893043518,-0.6811137795448303,0.9999033212661743,0.5818783044815063,0.6678231954574585,-0.6659535765647888,0.9998470544815063,0.8331738710403442,0.8917792439460754,-0.24144475162029266,0.9989194869995117,0.42725449800491333,0.8754290342330933,-0.2577788233757019,0.9996786713600159,0.9169589877128601,1.2310870885849,-0.2054499387741089,0.16610166430473328,0.33673664927482605,1.2118675708770752,-0.2129235565662384,0.2836794853210449,0.8973522186279297,1.508557677268982,-0.4558182656764984,0.02790200524032116,0.3376297056674957,1.479411244392395,-0.6361556053161621,0.07733046263456345,0.9223047494888306,1.6069730520248413,-0.5513339042663574,0.038047872483730316,0.31045103073120117,1.5739212036132812,-0.7468926310539246,0.09027142077684402,0.8817181587219238,1.6021445989608765,-0.6015475988388062,0.06605327129364014,0.35175666213035583,1.574983835220337,-0.8207395672798157,0.14263345301151276,0.8670963048934937,1.5598522424697876,-0.49279236793518066,0.06626555323600769,0.36942508816719055,1.5368694067001343,-0.6839500665664673,0.14179590344429016,0.7508369088172913,1.569941759109497,-0.05880606919527054,0.000353019597241655,0.48453718423843384,1.5467597246170044,0.06348628550767899,0.0005134168895892799,0.7306947112083435,2.105131149291992,0.013655213639140129,8.576287655159831e-05,0.48725414276123047,2.1021792888641357,0.19571909308433533,4.630109469871968e-05,0.7290725111961365,2.595742702484131,0.5862160921096802,3.57523349521216e-05,0.4968283176422119,2.588116407394409,0.6758893728256226,3.2431069030280923e-06,0.7367755174636841,2.6771557331085205,0.6138960123062134,3.950348764192313e-05,0.49524039030075073,2.669238328933716,0.7085949182510376,1.0760179065982811e-05,0.686157763004303,2.7465245723724365,0.08372007310390472,4.188192542642355e-05,0.5320472717285156,2.7376182079315186,0.1416792869567871,2.6542049454292282e-05
